article_Id;sort_AMSTAR_levels;AMSTAR_consensus_2;AMSTAR_levels_2;Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q9;Q10;Q11;PC1;PC2;PC3;PC4;number_of_cites_Google_Scholar;number_of_cites_Web_of_Science;title;topic;journal;journal_dermatology;year;Total Cites;Journal Impact Factor;Impact Factor without Journal Self Cites;5-Year Impact Factor;Immediacy Index;Citable Items;Cited Half-life;Citing Half-life;Eigenfactor Score;Article Influence Score;% Articles in Citable Items;Normalized Eigenfactor;avgJifPercentile;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2015);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;;num_authors;num_institutions;funding;funding_class;funding_class_2;funding_academic;funding_industry;pharma_name;funding_non_pharma_companies;conflict_of_interest;conflict_of_interest_%authors;countries_authors;page_count;log_page_count;clinical_trials;observational_studies;CTANDobservational;systematic_reviews;economic_studies;metaanalysis_included;economic_analysis_included;dateOFsubmissionTOjournal;dateOFacceptanceBYjournal;dateOFacceptanceBYjournal;daysFORreviewJournal_days;clusterFromHeatmap
21;1;11;high_quality;1;1;1;1;1;1;1;1;1;1;1;0.26678376;1.0566744;1.03978803;1.974945836;2;0;Topical treatments for scalp psoriasis (Review);Treatment;Cochrane Database of Systematic Reviews;0;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;7;4;funding;Academic;Academic;1;0;NA;0;6;85.71;3;260;8.02;1;0;0;0;0;1;No;8/17/2016;2/29/2016;2/29/2016;-170;Cluster 3
154;2;11;high_quality;1;1;1;1;1;1;1;1;1;1;1;0.26678376;1.0566744;1.03978803;1.974945836;60;32;Immunogenicity of Monoclonal Antibodies Against Tumor Necrosis Factor Used in Chronic Immune-Mediated Inflammatory Conditions: Systematic Review and Meta-analysis;Treatment;JAMA Internal Medicine;0;2013;745;NA;0;NA;4.268;164;0.5;5.7;0.00002;NA;95.73;0;0.321;ISSN 21686106, 21686114;4.904;Q1;272;752;1683;8927;7909;747;9.43;11.87;United States;;3;1;funding;Pharma;Pharma;0;1;UCB Pharma;1;2;66.67;1;13;3.7;1;1;1;0;0;1;No;1/1/2001;3/24/2013;3/24/2013;NA;
19;3;10;high_quality;1;1;1;1;0;1;1;1;1;1;1;0.4088028;1.04795587;1.20349728;0.3002195148;0;0;Is Oral Chinese Herbal Medicine Beneficial for Psoriasis Vulgaris? A Meta-Analysis of Comparisons with Acitretin;Treatment;Journal of Alternative and Complementary Medicine;0;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;8;2;funding;Academic;Academic;1;0;NA;0;0;0;2;15;3.91;1;0;0;0;0;1;No;1/1/2001;2/26/2016;2/26/2016;5534;
48;4;10;high_quality;1;1;1;1;1;1;1;1;1;0;1;0.42317769;1.24325542;-0.28430342;2.1605261984;0;0;Oral fumaric acid esters for psoriasis: Abridged Cochrane systematic review including GRADE assessments;Treatment;British Journal of Dermatology;1;2015;22215;4.317;3.744;4.302;1.726;310;8.4;7;0.03521;1.342;85.16;4.00159;92.623;ISSN 13652133, 00070963;2.021;Q1;139;603;1818;11465;4994;1062;4.35;19.01;United Kingdom;;7;4;funding;Academic & non-pharma comp;Academic;1;0;NA;1;1;14.29;2;17;4.09;1;0;0;0;0;1;No;1/31/2016;4/12/2016;4/12/2016;308;Cluster 6
59;5;10;high_quality;1;1;1;1;0;1;1;1;1;1;1;0.4088028;1.04795587;1.20349728;0.3002195148;84;45;The effects of tumour necrosis factor inhibitors, methotrexate, non-steroidal anti-inflammatory drugs and corticosteroids on cardiovascular events in rheumatoid arthritis, psoriasis and psoriatic arthritis: a systematic review and meta-analysis;Treatment;Annals of the Rheumatic Diseases;0;2015;35393;12.384;11.673;9.999;3.711;311;5.9;6.9;0.07538;2.95;94.86;8.56687;98.438;ISSN 14682060, 00034967;4.537;Q1;171;557;1551;12270;9635;944;11.28;22.03;United Kingdom;;17;10;funding;Pharma;Pharma;0;1;AbbVie;0;9;52.94;1;10;3.32;0;0;0;0;0;1;No;9/15/2014;12/16/2014;12/16/2014;92;Cluster 3
65;6;10;high_quality;1;1;1;0;1;1;1;1;1;1;1;0.415213;1.18738991;1.08240732;0.7596738421;17;7;Efficacy and Safety of Systemic Long-Term Treatments for Moderate-to-Severe Psoriasis: A Systematic Review and Meta-Analysis;Treatment;Journal of Investigative Dermatology;1;2015;25788;6.915;6.42;6.475;1.551;294;9;6.9;0.04312;2.197;94.56;4.90002;99.18;ISSN 0022202X;2.612;Q1;155;520;1452;15384;5485;1049;5.06;29.58;United Kingdom;;4;1;funding;Pharma;Pharma;0;0;NA;1;1;25;1;8;3;1;0;0;0;0;1;No;2/23/2015;5/22/2015;5/22/2015;88;Cluster 6
83;7;10;high_quality;1;1;1;1;1;1;1;1;1;0;1;0.42317769;1.24325542;-0.28430342;2.1605261984;1;2;Educational interventions to improve quality of life in people with chronic inflammatory skin diseases: systematic reviews of clinical effectiveness and cost-effectiveness;Treatment;Health Technology Assessment;0;2015;4819;4.058;3.89;5.012;0.657;102;8.2;8.4;0.00911;1.874;84.31;1.03541;93.678;ISSN 13665278;1.868;Q1;93;115;227;14150;938;225;3.51;123.04;United Kingdom;;5;1;funding;Academic;Academic;1;0;NA;0;0;0;1;202;7.66;1;0;0;0;1;0;Yes;1/1/2001;10/1/2015;10/1/2015;NA;Cluster 6
120;8;10;high_quality;1;1;1;0;1;1;1;1;1;1;1;0.415213;1.18738991;1.08240732;0.7596738421;15;9;Methotrexate and liver fibrosis in people with psoriasis: a systematic review of observational studies;Treatment;British Journal of Dermatology;1;2014;20484;4.275;3.834;3.984;1.065;339;8.3;7.1;0.03247;1.169;85.55;3.6369;91.27;ISSN 13652133, 00070963;1.963;Q1;139;688;1638;14745;5233;1037;5;21.43;United Kingdom;;6;5;funding;Academic;Academic;1;0;NA;0;0;0;1;13;3.7;0;1;0;0;0;0;No;1/1/2001;2/23/2014;2/23/2014;NA;Cluster 3
144;9;10;high_quality;1;1;1;1;1;1;1;1;1;0;1;0.42317769;1.24325542;-0.28430342;2.1605261984;64;12;Topical treatments for chronic plaque psoriasis: An abridged Cochrane Systematic Review;Treatment;Journal of the American Academy of Dermatology;1;2013;20127;5.004;4.64;4.731;0.904;251;9.4;7.9;0.02977;1.377;88.84;3.28091;95.902;ISSN 01909622, 10976787;1.935;Q1;162;616;1653;12017;4796;921;5.66;19.51;United States;;5;4;funding;Academic;Academic;1;0;NA;0;1;20;1;9;3.17;1;0;0;0;0;1;No;1/1/2001;6/2/2013;6/2/2013;NA;Cluster 6
164;10;10;high_quality;1;1;1;1;1;1;1;1;1;0;1;0.42317769;1.24325542;-0.28430342;2.1605261984;103;NA;Topical treatments for chronic plaque psoriasis (Review);Treatment;The Cochrane database of systematic reviews;0;2013;39856;5.939;5.432;6.706;0.816;1007;4.9;>10.0;0.13531;2.326;1.49;14.91429;93.91;ISSN 1469493X;1.17;Q1;133;1073;2449;191;6383;2407;2.89;0.18;United Kingdom;;5;5;funding;Academic;Academic;1;0;NA;1;1;20;;805;9.65;1;0;0;0;0;1;No;1/1/2001;3/28/2013;3/28/2013;NA;Cluster 3
