article_Id;AMSTAR_quality;article;author_code;Author;Institution;City;Pharma company;Country_institution;Documents;Citations;H-index_author;Co-authors
17;low quality;Terms referring to psoriasis vulgaris in the classical Chinese medicine literature: a systematic analysis;90;Chang,ﾠSuyueh;Royal Melbourne Institute of Technology University, China-Australia International Research Centre for Chinese Medicine;Melbourne;;Australia;3;5;1;14
75;moderate quality;Acupuncture Therapies for Psoriasis Vulgaris: A Systematic Review of Randomized Controlled Trials;120;Coyle,ﾠMeaghan E;Royal Melbourne Institute of Technology University, China-Australia International Research Centre for Chinese Medicine;Melbourne;;Australia;23;241;9;40
110;moderate quality;Topical herbal formulae in the management of psoriasis: Systematic review with meta-analysis of clinical studies and investigation of the pharmacological actions of the main herbs;143;Deng, Shiqiang;Royal Melbourne Institute of Technology University, School of Health Sciences;Melbourne;;Australia;7;52;5;5
148;high quality;Plant extracts for the topical management of psoriasis: A systematic review and meta-analysis;143;Deng,ﾠShiqiang;Royal Melbourne Institute of Technology University, School of Health Sciences;Melbourne;;Australia;7;52;5;5
176;moderate quality;Topical herbal medicine combined with pharmacotherapy for psoriasis: A systematic review and meta-analysis;143;Deng, Shiqiang;Royal Melbourne Institute of Technology University, School of Health Sciences;Melbourne;;Australia;7;52;5;5
17;low quality;Terms referring to psoriasis vulgaris in the classical Chinese medicine literature: a systematic analysis;394;May,ﾠBrian H;Royal Melbourne Institute of Technology University, China-Australia International Research Centre for ChineseﾠMedicine;Melbourne;;Australia;49;249;10;74
19;high quality;Is Oral Chinese Herbal Medicine Beneficial for Psoriasis Vulgaris? A Meta-Analysis of Comparisons with Acitretin.;394;May,ﾠBrian H.;Royal Melbourne Institute of Technology University, China-Australia International Research Centre for Chinese Medicine;Melbourne;;Australia;49;249;10;74
44;moderate quality;Efficacy of combining oral Chinese herbal medicine and NB-UVB in treating psoriasis vulgaris: a systematic review and meta-analysis;394;May, Brian H.;Royal Melbourne Institute of Technology University, China-Australia International Research Centre for Chinese Medicine;Melbourne;;Australia;49;249;10;74
110;moderate quality;Topical herbal formulae in the management of psoriasis: Systematic review with meta-analysis of clinical studies and investigation of the pharmacological actions of the main herbs;394;May, Brian H.;Royal Melbourne Institute of Technology University, China-Australia International Research Centre for Chinese Medicine;Melbourne;;Australia;50;255;10;75
119;high quality;Oral Chinese herbal medicine combined with pharmacotherapy for psoriasis vulgaris: A systematic review;394;May,ﾠBrian H.;Royal Melbourne Institute of Technology University, China-Australia International Research Centre for Chinese Medicine;Melbourne;;Australia;49;249;10;74
148;high quality;Plant extracts for the topical management of psoriasis: A systematic review and meta-analysis;394;May,ﾠBrian H.;Royal Melbourne Institute of Technology University, China-Australia International Research Centre for Chinese Medicine;Melbourne;;Australia;49;249;10;74
155;moderate quality;Add-on effect of chinese herbal medicine bath to phototherapy for psoriasis vulgaris: A systematic review;394;May, Brian H.;Royal Melbourne Institute of Technology University, China-Australia International Research Centre for Chinese Medicine;Melbourne;;Australia;50;255;10;75
176;moderate quality;Topical herbal medicine combined with pharmacotherapy for psoriasis: A systematic review and meta-analysis;394;May, Brian H.;Royal Melbourne Institute of Technology University, China-Australia International Research Centre for Chinese Medicine;Melbourne;;Australia;50;255;10;75
119;high quality;Oral Chinese herbal medicine combined with pharmacotherapy for psoriasis vulgaris: A systematic review;457;Parker,ﾠShefton J;Royal Melbourne Institute of Technology University, China-Australia International Research Centre for Chinese Medicine;Melbourne;;Australia;8;16;3;18
17;low quality;Terms referring to psoriasis vulgaris in the classical Chinese medicine literature: a systematic analysis;679;Xue,ﾠCharlie C L;Royal Melbourne Institute of Technology University;Melbourne;;Australia;176;2568;24;150
19;high quality;Is Oral Chinese Herbal Medicine Beneficial for Psoriasis Vulgaris? A Meta-Analysis of Comparisons with Acitretin.;679;Xue,ﾠCharlie C L;Royal Melbourne Institute of Technology University;Melbourne;;Australia;176;2567;24;150
44;moderate quality;Efficacy of combining oral Chinese herbal medicine and NB-UVB in treating psoriasis vulgaris: a systematic review and meta-analysis;679;Xue, Charlie C L;Royal Melbourne Institute of Technology University;Melbourne;;Australia;176;2568;24;150
75;moderate quality;Acupuncture Therapies for Psoriasis Vulgaris: A Systematic Review of Randomized Controlled Trials;679;Xue,ﾠCharlie C L;Royal Melbourne Institute of Technology University;Melbourne;;Australia;176;2568;24;150
110;moderate quality;Topical herbal formulae in the management of psoriasis: Systematic review with meta-analysis of clinical studies and investigation of the pharmacological actions of the main herbs;679;Xue, Charlie C L;Royal Melbourne Institute of Technology University;Melbourne;;Australia;177;2579;24;150
