topic;AMSTAR_levels_2;Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q9;Q10;Q11;journal;Journal_2;num_publications;year
all;moderate_quality;1;1;1;0;0;1;1;1;1;1;0;Acta Dermato-Venereologica;Acta Derm Venereol;3;2015
all;low_quality;1;1;1;1;0;0;0;0;0;0;0;Acta Dermato-Venereologica;Acta Derm Venereol;3;2012
all;low_quality;0;0;1;0;0;1;0;0;0;0;1;Acta Dermato-Venereologica;Acta Derm Venereol;3;2011
all;moderate_quality;0;1;1;0;0;1;1;1;1;0;1;American Journal of Clinical Dermatology;Am J Clin Dermatol;5;2013
all;moderate_quality;0;0;1;1;0;1;1;1;0;0;1;American Journal of Clinical Dermatology;Am J Clin Dermatol;5;2006
all;moderate_quality;1;0;0;0;0;1;0;0;1;1;1;American Journal of Clinical Dermatology;Am J Clin Dermatol;5;2012
all;low_quality;0;0;0;0;0;1;0;0;0;0;1;American Journal of Clinical Dermatology;Am J Clin Dermatol;5;2014
all;low_quality;0;0;0;0;0;1;0;0;0;0;1;American Journal of Clinical Dermatology;Am J Clin Dermatol;5;2009
treatment;moderate_quality;0;1;1;0;0;1;1;1;1;0;1;American Journal of Clinical Dermatology;Am J Clin Dermatol;3;2013
treatment;low_quality;0;0;0;0;0;1;0;0;0;0;1;American Journal of Clinical Dermatology;Am J Clin Dermatol;3;2014
treatment;low_quality;0;0;0;0;0;1;0;0;0;0;1;American Journal of Clinical Dermatology;Am J Clin Dermatol;3;2009
all;moderate_quality;1;1;1;0;0;1;1;1;1;1;0;Archives of Dermatological Research;Arch Dermatol Res;2;2013
all;moderate_quality;0;0;1;1;0;1;0;0;1;1;0;Archives of Dermatological Research;Arch Dermatol Res;2;2012
treatment;moderate_quality;1;1;1;0;0;1;1;1;1;1;0;Archives of Dermatological Research;Arch Dermatol Res;2;2013
treatment;moderate_quality;0;0;1;1;0;1;0;0;1;1;0;Archives of Dermatological Research;Arch Dermatol Res;2;2012
all;high_quality;1;1;1;1;1;1;1;1;1;0;1;British Journal of Dermatology;Br J Dermatol;32;2015
all;high_quality;1;1;1;0;1;1;1;1;1;1;1;British Journal of Dermatology;Br J Dermatol;32;2014
all;high_quality;1;1;1;1;0;1;1;1;1;0;1;British Journal of Dermatology;Br J Dermatol;32;2016
all;high_quality;1;1;1;0;1;1;1;1;1;0;1;British Journal of Dermatology;Br J Dermatol;32;2015
all;high_quality;1;1;1;1;1;1;1;1;0;0;1;British Journal of Dermatology;Br J Dermatol;32;2014
all;high_quality;1;1;1;1;0;1;1;1;1;0;1;British Journal of Dermatology;Br J Dermatol;32;2013
all;high_quality;0;1;1;1;0;1;1;1;1;1;1;British Journal of Dermatology;Br J Dermatol;32;2013
all;high_quality;1;1;1;0;0;1;1;1;1;1;1;British Journal of Dermatology;Br J Dermatol;32;2013
all;high_quality;1;1;1;0;0;1;1;1;1;1;1;British Journal of Dermatology;Br J Dermatol;32;2013
all;high_quality;1;1;1;1;0;1;1;1;1;0;1;British Journal of Dermatology;Br J Dermatol;32;2013
all;moderate_quality;0;1;1;0;0;1;1;1;1;1;1;British Journal of Dermatology;Br J Dermatol;32;2014
all;moderate_quality;0;1;1;0;0;1;1;1;1;1;1;British Journal of Dermatology;Br J Dermatol;32;2012
all;moderate_quality;0;1;1;1;0;1;1;1;1;0;1;British Journal of Dermatology;Br J Dermatol;32;2008
all;moderate_quality;1;1;1;0;0;1;1;1;0;0;1;British Journal of Dermatology;Br J Dermatol;32;2015
all;moderate_quality;0;1;1;0;0;1;1;1;1;0;1;British Journal of Dermatology;Br J Dermatol;32;2014
all;moderate_quality;0;0;1;1;1;1;1;1;1;0;0;British Journal of Dermatology;Br J Dermatol;32;2009
all;moderate_quality;1;0;1;1;0;1;1;1;1;0;0;British Journal of Dermatology;Br J Dermatol;32;2008
all;moderate_quality;0;0;1;1;0;1;1;1;1;0;1;British Journal of Dermatology;Br J Dermatol;32;2002
all;moderate_quality;1;1;1;1;0;1;0;0;0;0;1;British Journal of Dermatology;Br J Dermatol;32;2016
all;moderate_quality;0;1;1;0;0;1;1;1;0;0;1;British Journal of Dermatology;Br J Dermatol;32;2014
all;moderate_quality;1;0;1;0;0;1;1;1;0;0;1;British Journal of Dermatology;Br J Dermatol;32;2013
all;moderate_quality;0;1;1;0;0;1;1;1;0;0;1;British Journal of Dermatology;Br J Dermatol;32;2013
all;moderate_quality;0;0;1;1;0;1;1;1;0;0;1;British Journal of Dermatology;Br J Dermatol;32;2012
all;moderate_quality;0;0;0;0;0;1;1;1;1;0;1;British Journal of Dermatology;Br J Dermatol;32;2015
all;moderate_quality;0;0;1;0;0;1;1;1;0;0;1;British Journal of Dermatology;Br J Dermatol;32;2013
all;moderate_quality;0;0;1;0;0;1;0;0;1;1;1;British Journal of Dermatology;Br J Dermatol;32;2013
all;moderate_quality;0;0;1;1;0;1;1;1;0;0;0;British Journal of Dermatology;Br J Dermatol;32;2002
all;moderate_quality;0;0;1;1;0;1;0;0;1;0;1;British Journal of Dermatology;Br J Dermatol;32;2001
all;moderate_quality;0;1;0;1;0;1;0;0;1;1;0;British Journal of Dermatology;Br J Dermatol;32;1997
all;low_quality;1;0;1;0;0;1;0;0;0;0;1;British Journal of Dermatology;Br J Dermatol;32;2015
